product_id,product_name,category,price,units_sold,revenue,rating,in_stock,launch_date,region
P001,Laptop Pro 15,Electronics,1299.99,342,444597.58,4.5,true,2024-01-15,North America
P002,Wireless Mouse,Electronics,29.99,1580,47384.20,4.2,true,2024-02-01,Europe
P003,Office Chair Ergo,Furniture,449.00,213,95637.00,4.7,true,2024-01-20,North America
P004,Standing Desk,Furniture,699.00,87,60813.00,4.3,true,2024-03-10,Europe
P005,Monitor 4K 27",Electronics,549.99,456,250795.44,4.6,true,2024-01-05,North America
P006,Mechanical Keyboard,Electronics,89.99,923,83040.77,4.1,true,2024-02-14,Asia
P007,Webcam HD,Electronics,59.99,1102,66108.98,3.8,false,2024-04-01,Europe
P008,Desk Lamp LED,Furniture,34.99,675,23618.25,4.0,true,2024-03-15,Asia
P009,Noise Cancelling Headphones,Electronics,249.99,534,133494.66,4.8,true,2024-01-22,North America
P010,USB-C Hub,Electronics,44.99,2103,94603.97,4.4,true,2024-02-28,Europe
P011,Ergonomic Mouse Pad,Accessories,19.99,,0,3.9,true,2024-05-01,Asia
P012,Cable Management Kit,Accessories,15.99,430,6875.70,3.7,true,2024-04-10,North America
P013,Portable SSD 1TB,Electronics,109.99,389,42786.11,4.6,true,2024-03-01,Europe
P014,Laptop Stand,Accessories,39.99,612,24473.88,4.2,true,2024-02-20,Asia
P015,Bluetooth Speaker,Electronics,79.99,298,23837.02,4.0,false,2024-05-15,North America
P016,Wireless Charger,Electronics,24.99,1456,36385.44,3.6,true,2024-04-22,Europe
P017,Monitor Arm,Furniture,89.99,245,22047.55,4.5,true,2024-03-28,North America
P018,Privacy Screen Filter,Accessories,29.99,167,5008.33,4.1,true,2024-05-10,Asia
P019,Thunderbolt Cable,Accessories,,890,0,4.3,true,2024-04-05,Europe
P020,Desk Organizer,Furniture,22.99,534,12272.66,3.8,true,2024-06-01,North America
P021,Laptop Sleeve 15",Accessories,24.99,723,18067.77,4.0,true,2024-05-20,Asia
P022,Wireless Earbuds,Electronics,149.99,667,100043.33,4.4,true,2024-02-10,North America
P023,Smart Power Strip,Electronics,39.99,345,13796.55,3.9,false,2024-06-15,Europe
P024,Document Scanner,Electronics,199.99,122,24398.78,4.2,true,2024-04-18,Asia
P025,Whiteboard 48x36,Furniture,129.99,89,11569.11,4.1,true,2024-03-05,North America
P026,Webcam Light,Accessories,18.99,1890,35881.10,3.5,true,2024-06-20,Europe
P027,Mechanical Numpad,Electronics,49.99,234,11697.66,4.0,true,2024-05-08,Asia
P028,Footrest Ergonomic,Furniture,59.99,178,10678.22,4.3,true,2024-04-25,North America
P029,Screen Cleaner Kit,Accessories,9.99,2567,25644.33,3.4,true,2024-06-10,Europe
P030,Laptop Docking Station,Electronics,179.99,156,28078.44,4.5,true,2024-03-18,North America
